final_eq,max_dd,min_eq
139518.86178852493,-1127.6000000000422,4846.557556383678
157623.8795361618,-1267.448718485106,5019.759999999999
161191.96382019116,-1089.0654211075162,5004.28
155980.71016792103,-1258.0800000000236,4992.759999999998
153815.19005296557,-2030.2566711496984,4739.000000000005
147172.04125090502,-2256.6800000001385,4569.799999999951
162885.5452035199,-1345.240000000209,5024.519999999994
145183.50652051676,-1145.8000000000247,4865.239999999982
158821.14862575612,-1325.6081118237198,4726.343110446226
158735.05489475187,-1267.209513752532,4926.60000000001
153632.54679443876,-879.1146157564217,4988.7599999999975
148382.66341004102,-1416.1034279424348,5008.839999999997
158179.9068368446,-1293.4641413789504,4968.519999999997
148013.18336865943,-1545.0977546604408,4965.279999999994
158936.43983412255,-942.1365792159777,5011.759999999999
140919.14219410386,-1341.6000000000095,4780.67558629134
147644.36387132047,-1284.2799999999934,4969.519999999999
152944.4868060641,-1502.2943522838323,4948.559999999988
143562.12790881022,-2188.9475934457223,4887.831057321881
180759.58250111627,-1170.7681835110416,5342.36498666172
172026.58275889102,-905.2415227141755,5071.839999999986
140906.39464514915,-1155.5600000000559,4820.119999999972
150576.55343029005,-1292.2800000000389,4886.839999999997
158050.82750676523,-1077.1670684375276,4681.039999999963
150268.7110348415,-881.7610004338057,4996.759999999999
150627.8201971341,-1471.760000000184,4825.76797327918
163104.7684336085,-909.9531601496274,4685.5599999999895
149722.02322661446,-1043.2937629096996,4572.879999999955
145761.13654627898,-1273.6800000001385,4428.215763196669
143454.56032315473,-1763.6283178047452,4972.800000000001
168613.4867664277,-1315.8718627156923,5551.520000000012
152016.2700973181,-1574.326533699007,4940.55999999999
145594.39106980673,-2652.6561238074937,4986.7599999999975
159463.5027126207,-1113.679999999993,4262.913339202183
169792.75316401123,-1170.3200000003417,4911.227192626998
181392.9769732685,-1571.6399999996647,4425.646944956748
152462.63306614864,-1249.2550476679098,4947.025776053947
139010.5858478742,-1497.8937071059772,4960.839999999976
157239.22654157397,-1016.0302352101644,4936.039999999993
155814.91598194957,-1428.6363096882124,4992.519999999998
153996.3933310846,-972.7838856640592,4922.799999999989
153495.92084134737,-1567.9419549273662,5024.675189570233
156809.75567289285,-1555.8551557515893,5054.759999999999
148410.68319786692,-1098.640000000043,4850.600000000002
180458.13535145207,-1367.8257304857361,5377.63999999999
161568.72005500112,-1383.2412159474516,4981.7599999999975
157533.3511682551,-1147.0737860739418,4329.886213925984
141848.74281523953,-1363.7302393743157,4967.759999999997
146211.75522424205,-1370.298335802123,4943.788213893719
155020.07400556016,-1142.194899072958,4917.6000000000295
127850.37995640148,-1115.8183783134737,4809.834946374739
161943.67307463047,-1373.560000000085,4983.279999999998
145103.36549626366,-1580.2073852195244,4972.279999999997
146832.54532899504,-1294.5209062160866,4993.760000000009
151506.45751704145,-1850.246325127504,4546.569369908492
133522.8984575566,-1239.6400000001886,4735.719999999902
147013.17757399578,-1584.1600000001054,4927.799999999989
180541.07011094535,-1078.6816565375048,4886.599999999983
153273.79291741087,-1191.4758689983282,4851.319999999995
183376.44105820483,-1127.8400000000547,4844.338045072647
162430.61270019948,-1080.413403893912,4803.9199999999955
145827.06176416567,-1321.2000000000244,4873.599999999995
164295.87514489473,-1073.4399999999441,4919.599999999989
152372.3201242614,-1194.8400000000256,5010.27588069145
157601.5382396669,-1111.3955415988748,4855.639999999972
144794.16695945794,-1452.1985546177748,5025.039999999995
137403.99387806456,-1551.3093811149593,4998.76
166625.37315880126,-1582.6800000001385,4754.399999999971
166355.58064781042,-1111.600000000064,4749.772336693737
128141.76306543521,-1728.6244188352575,4849.439999999977
144119.49344439237,-1527.6642576137674,4923.6513872251
161005.33894049452,-1037.8657681537152,4612.439999999994
140839.0070432315,-1211.0000000001455,4940.799999999989
149984.3592156128,-1384.1830516415903,4675.660379833504
126165.39908732075,-758.2800000000207,4978.7599999999975
140509.12315873304,-954.4832661485707,5140.5199999999995
155776.22381643028,-878.9200000001583,5048.319999999996
163220.53103576106,-1219.0975935338793,4966.279999999995
133625.70110515293,-1277.2400000000125,5014.407831374702
156159.70802739853,-1160.6800000000221,4902.583577805153
161609.65492054692,-1135.2893372670806,4812.715189570178
148603.25126518455,-2161.0800000001764,5001.7599999999975
161893.92260773794,-1079.5979128380422,4925.319999999994
156621.5214991383,-1121.4400000000096,4781.038218022021
145494.7698376967,-1378.6400000000322,4989.634497324267
155507.6047028994,-1148.8117261740408,4898.079999999993
152804.19213173736,-2088.939123652526,4961.079999999985
156176.56475443783,-1473.1451053205965,5150.280000000003
137862.28893714066,-1736.8422352632806,4903.335742386347
153376.70973777334,-1532.6627961079357,4991.7599999999975
161767.19440673353,-1266.839999999851,4761.559999999999
